#species	count
species:ncbi:2095	1139
species:ncbi:11746	1139
species:ncbi:7787	1137
species:ncbi:34305	1135
species:ncbi:5666	1135
species:ncbi:6339	1135
species:ncbi:11020	1133
species:ncbi:13164	1132
species:ncbi:10678	1131
species:ncbi:71164	1128
species:ncbi:29523	1127
species:ncbi:1408	1125
species:ncbi:1613	1125
species:ncbi:3707	1120
species:ncbi:10754	1119
species:ncbi:12295	1118
species:ncbi:30532	1118
species:ncbi:48849	1115
species:ncbi:11620	1113
species:ncbi:3840	1109
species:ncbi:11827	1107
species:ncbi:5868	1107
species:ncbi:3352	1105
species:ncbi:44271	1104
species:ncbi:7038	1101
species:ncbi:34199	1101
species:ncbi:51350	1098
species:ncbi:9696	1095
species:ncbi:13489	1094
species:ncbi:5689	1094
species:ncbi:13106	1092
species:ncbi:87882	1091
species:ncbi:1393	1090
species:ncbi:1245	1090
species:ncbi:79684	1088
species:ncbi:6763	1087
species:ncbi:8265	1087
species:ncbi:6565	1084
species:ncbi:3621	1082
species:ncbi:153659	1081
species:ncbi:1390	1080
species:ncbi:513146	1079
species:ncbi:1501	1075
species:ncbi:5698	1075
species:ncbi:11241	1073
species:ncbi:95486	1072
species:ncbi:29031	1070
species:ncbi:4909	1067
species:ncbi:7107	1067
species:ncbi:32536	1063
species:ncbi:10821	1057
species:ncbi:1515	1052
species:ncbi:5888	1051
species:ncbi:4615	1049
species:ncbi:3823	1048
species:ncbi:33178	1048
species:ncbi:42890	1044
species:ncbi:11287	1044
species:ncbi:1283	1044
species:ncbi:49992	1044
species:ncbi:11960	1042
species:ncbi:8038	1039
species:ncbi:11603	1039
species:ncbi:4502	1036
species:ncbi:5353	1036
species:ncbi:46015	1035
species:ncbi:9378	1034
species:ncbi:7029	1034
species:ncbi:2133	1032
species:ncbi:7200	1032
species:ncbi:9783	1032
species:ncbi:32264	1031
species:ncbi:33040	1028
species:ncbi:2303	1027
species:ncbi:29461	1027
species:ncbi:31281	1024
species:ncbi:51089	1024
species:ncbi:6396	1023
species:ncbi:4220	1022
species:ncbi:8005	1021
species:ncbi:39350	1019
species:ncbi:9515	1016
species:ncbi:51028	1016
species:ncbi:4911	1015
species:ncbi:10041	1015
species:ncbi:3673	1014
species:ncbi:12045	1014
species:ncbi:10273	1013
species:ncbi:28314	1011
species:ncbi:69293	1010
species:ncbi:1131	1005
species:ncbi:8127	1005
species:ncbi:8406	1004
species:ncbi:28903	1003
species:ncbi:11290	1001
species:ncbi:159	1001
species:ncbi:42068	999
species:ncbi:78535	997
species:ncbi:6303	996
species:ncbi:1771	996
species:ncbi:7209	995
species:ncbi:9711	993
species:ncbi:497498	992
species:ncbi:8724	991
species:ncbi:29385	990
species:ncbi:3972	990
species:ncbi:4905	990
species:ncbi:6706	989
species:ncbi:88087	988
species:ncbi:9739	985
species:ncbi:102107	985
species:ncbi:6689	980
species:ncbi:1143	979
species:ncbi:8262	979
species:ncbi:1789	977
species:ncbi:5325	976
species:ncbi:51031	976
species:ncbi:27697	976
species:ncbi:552	975
species:ncbi:9267	973
species:ncbi:6453	969
